facility_code,facility_name,in_degree,out_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,clustering_coefficient,outbound_segment_count,avg_outbound_delay_ratio,outbound_sla_breaches,inbound_segment_count,avg_inbound_delay_ratio,inbound_sla_breaches,total_segment_volume,total_sla_breaches,sla_breach_contribution_pct,norm_betweenness,norm_pagerank,norm_delay,norm_volume,structural_risk_score
IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),45,49,0.0695266272189349,0.03328402366863905,0.036242603550295856,0.3304442552053198,0.22532730975507712,0.4291840452855136,0.022430667958017597,0.03715846994535519,23347.0,1.9179495647351683,20687.0,15192.0,1.9563880451845768,12838.0,38539.0,33525.0,25.91785142751119,1.0,1.0,0.03507577187824607,1.0,0.8070151543756492
IND562132AAA,Bangalore_Nelmngla_H (Karnataka),36,35,0.05251479289940828,0.026627218934911243,0.025887573964497042,0.18747253740399236,0.2100605306145746,0.3097253736723992,0.01526701014858701,0.05357142857142857,9975.0,1.7865984176465366,8969.0,11019.0,1.8623177432631224,9929.0,20994.0,18898.0,14.609859993351423,0.5673348362116548,0.6787083247820975,0.03267360085355442,0.5447350666874254,0.4837260073777995
IND501359AAE,Hyderabad_Shamshbd_H (Telangana),30,27,0.04215976331360947,0.022189349112426034,0.01997041420118343,0.1389906995567181,0.20419815813705244,0.23861394123656277,0.012963607620404114,0.042682926829268296,3340.0,2.01304557587043,3141.0,5142.0,2.0386640351856875,4696.0,8482.0,7837.0,6.058708475388671,0.42061769078223793,0.5754001997057185,0.03681490311216471,0.22006850381441695,0.34244292308552926
IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),32,29,0.045118343195266274,0.023668639053254437,0.021449704142011833,0.08264300419812791,0.18807393590291135,0.13188994163320858,0.011698349420700156,0.03433001107419712,2450.0,1.9021727957645957,2162.0,2874.0,2.4373078858138904,2637.0,5324.0,4799.0,3.7100602237323255,0.2500966589562228,0.5186530828863035,0.03478724377533738,0.1381234106596087,0.2517792322432431
IND712311AAA,Kolkata_Dankuni_HB (West Bengal),24,22,0.034023668639053255,0.01775147928994083,0.016272189349112426,0.13603145221297308,0.20636361694401129,0.1990652276696858,0.01008006883722024,0.0392156862745098,2612.0,2.3704244119070044,2334.0,4892.0,2.347672283835511,4567.0,7504.0,6901.0,5.335095979157487,0.4116623305448317,0.44607283220007,0.04335070507349672,0.19469095438268721,0.3032083556319453
IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),29,29,0.042899408284023666,0.021449704142011833,0.021449704142011833,0.10447033213280985,0.20460929536820088,0.26715663696650566,0.009554883658956775,0.06156156156156156,9088.0,2.1546872461937165,8535.0,5492.0,2.3927178405948464,5126.0,14580.0,13661.0,10.561186229716043,0.31615115253826326,0.42251815800810244,0.03940526889031767,0.37830193575172555,0.2998238838188264
IND411033AAA,Pune_Tathawde_H (Maharashtra),23,20,0.03180473372781065,0.017011834319526627,0.014792899408284023,0.06490119369366963,0.19818061761557051,0.2010577595620229,0.008579717152947612,0.06157635467980296,4061.0,1.9892058603344271,3578.0,3695.0,1.9987441236488013,3359.0,7756.0,6937.0,5.362927229012532,0.1964058768500715,0.37878171935247423,0.03637891853824367,0.20122995484975867,0.21095926141324403
IND131028AAB,Sonipat_Kundli_H (Haryana),20,20,0.029585798816568046,0.014792899408284023,0.014792899408284023,0.0717776675523867,0.19113971793016885,0.1321499732685929,0.007480314852870599,0.03870967741935484,1682.0,1.8131938905980516,1130.0,2796.0,1.9211459891017653,2200.0,4478.0,3330.0,2.5743906115917157,0.21721566170907713,0.32947327719529146,0.03315998316484852,0.11617105194872593,0.18826000791971473
IND209304AAA,Kanpur_Central_H_6 (Uttar Pradesh),16,13,0.021449704142011833,0.011834319526627219,0.009615384615384616,0.060557909908549555,0.18600845033472807,0.1149892588644436,0.007064919522100564,0.03463203463203463,1513.0,1.9147226616704263,1202.0,2246.0,2.8965039464216438,2084.0,3759.0,3286.0,2.54037463954666,0.18326210534639864,0.31084270252921764,0.03501675775302963,0.09751414188593077,0.168358592431336
IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),11,18,0.021449704142011833,0.008136094674556213,0.013313609467455622,0.0052148372609000055,0.16955942719611752,0.09722430997616524,0.006401576793483868,0.1368421052631579,1958.0,1.7606136382654025,1564.0,1425.0,1.96890201221628,1189.0,3383.0,2753.0,2.128317523637235,0.01578129193881671,0.28109163091321965,0.032198387005058324,0.08775753801442732,0.0997875449107879
